"temperature","Date"
21.5123933713767,"07-09-2021"
14.4778240771499,"08-09-2021"
23.2699408024154,"09-09-2021"
21.0808595157042,"10-09-2021"
21.4131829153374,"11-09-2021"
21.7030273139011,"12-09-2021"
24.409965248371,"13-09-2021"
27.9872448712774,"14-09-2021"
17.2890437477967,"15-09-2021"
23.0777639314625,"16-09-2021"
26.6129517313465,"17-09-2021"
25.5888956725691,"18-09-2021"
27.6946393099288,"19-09-2021"
27.1317520037736,"20-09-2021"
27.2154504118697,"21-09-2021"
26.8182471794426,"22-09-2021"
28.9773298561899,"23-09-2021"
26.5158902481361,"24-09-2021"
12.5947035238193,"25-09-2021"
18.927539850953,"26-09-2021"
24.1482980218064,"27-09-2021"
25.9914049823047,"28-09-2021"
17.9910366296023,"29-09-2021"
19.4875476243207,"30-09-2021"
18.9504326118296,"01-10-2021"
19.4726329999627,"02-10-2021"
17.1422998212511,"03-10-2021"
20.5785122555681,"04-10-2021"
22.1867257678276,"05-10-2021"
23.7444391043508,"06-10-2021"
26.1801460402785,"07-10-2021"
24.4659871013835,"08-10-2021"
29.5923190250248,"09-10-2021"
28.9736057464569,"10-10-2021"
30.0456416038424,"11-10-2021"
30.7970222255308,"12-10-2021"
25.6655477999267,"13-10-2021"
23.0231324285176,"14-10-2021"
30.5986386729358,"15-10-2021"
24.4363907551928,"16-10-2021"
28.0655879312963,"17-10-2021"
26.7262870672019,"18-10-2021"
27.057929183573,"19-10-2021"
29.5608547903411,"20-10-2021"
24.2411184690194,"21-10-2021"
28.4552263645455,"22-10-2021"
27.0733382309857,"23-10-2021"
23.9318922157516,"24-10-2021"
21.8730857871938,"25-10-2021"
27.6793353898358,"26-10-2021"
19.5211751782661,"27-10-2021"
24.5227561126137,"28-10-2021"
27.4920691705402,"29-10-2021"
30.559669572534,"30-10-2021"
30.605855890736,"31-10-2021"
27.3612502571195,"01-11-2021"
27.6575153408339,"02-11-2021"
33.5969589293003,"03-11-2021"
22.8540757848043,"04-11-2021"
26.4763678414794,"05-11-2021"
29.2574139795778,"06-11-2021"
30.4064810100175,"07-11-2021"
24.4607089679805,"08-11-2021"
30.3725226674206,"09-11-2021"
28.6963245990011,"10-11-2021"
26.0234674903378,"11-11-2021"
26.5246636645892,"12-11-2021"
18.9608258447354,"13-11-2021"
25.1786714064656,"14-11-2021"
27.1943540100008,"15-11-2021"
28.0794655771554,"16-11-2021"
19.8729308325564,"17-11-2021"
27.5500960961217,"18-11-2021"
23.3530616222997,"19-11-2021"
21.3312730971607,"20-11-2021"
29.4765138563141,"21-11-2021"
31.5262427245453,"22-11-2021"
29.8205295691732,"23-11-2021"
27.1599916515988,"24-11-2021"
