Mes_escrito;Mes;Anio;Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Mayo;5;2019;may-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.356;412;109.800;10980*cuna 10 kilos;4121/cuna 10 kilos
Mayo;5;2019;may-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.200;1.019;250;1.100;110*cuna 10 kilos;2500/cuna 10 kilos
Junio;6;2019;jun-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.295;438;42.000;4200*cuna 10 kilos;4382/cuna 10 kilos
Junio;6;2019;jun-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.400;1.032;473;6.300;630*cuna 10 kilos;4730/cuna 10 kilos
Julio;7;2019;jul-19;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.000;1.391;466;172.000;17200*cuna 10 kilos;4660/cuna 10 kilos
Julio;7;2019;jul-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.400;1.046;;;;
Agosto;8;2019;ago-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.394;462;155.400;15540*cuna 10 kilos;4621/cuna 10 kilos
Agosto;8;2019;ago-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.400;1.005;350;2.400;240*cuna 10 kilos;3500/cuna 10 kilos
Septiembre;9;2019;sept-19;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.000;1.329;432;140.150;14015*cuna 10 kilos;4321/cuna 10 kilos
Septiembre;9;2019;sept-19;Espinaca;Sin especificar;Segunda;$/kilo;500;1.200;999;;;;
Octubre;10;2019;oct-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.311;472;166.000;16600*cuna 10 kilos;4716/cuna 10 kilos
Octubre;10;2019;oct-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.200;1.011;;;;
Noviembre;11;2019;nov-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.264;454;107.800;10780*cuna 10 kilos;4541/cuna 10 kilos
Noviembre;11;2019;nov-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.200;945;;;;
Diciembre;12;2019;dic-19;Espinaca;Sin especificar;Primera;$/kilo;700;2.000;1.319;503;105600;10560*cuna 10 kilos;5034/cuna 10 kilos
Diciembre;12;2019;dic-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.200;995;;;;
Enero;1;2020;ene-20;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.800;1.745;1.087;30.500;3050*cuna 10 kilos;10867/cuna 10 kilos
